ID,GROUP NO,DESCRIPTION,FUNC,UNIT,TYPE,SENSOR TYPE,ALARM GROUP,INPUT CH,INHIBIT ID,OUT CH,EAU GROUP,RANGE MIN,RANGE MAX,LOW ALARM,HIGH ALARM,OFFSET,SPAN,ON DELAY,OFFDELAY,CONTROL,ENABLE,ALARM LEVEL,VDR,LOLO (INDICATOR),LOW ,HIGH,HIHI,ALARM PRINTER,LOLO ALARM,HIHI ALARM,ONDELAY2,OFFDELAY2,MEAN ID,INPUT ID
1,ME23,NO.1 M/E E.G.T. CYLINDER MEAN,MEAN,━C,6,0,4,0,175,0,2,0,690,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
2,ME24,NO.2 M/E E.G.T. CYLINDER MEAN,MEAN,━C,6,0,4,0,205,0,2,0,690,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
3,ME01A,NO.1 M/E E.G.T. CYLINDER A1 DEVI. HIGH/LOW,TDAHL,━C,5,0,4,0,175,0,2,0,690,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,1,84
4,ME02A,NO.1 M/E E.G.T. CYLINDER A2 DEVI. HIGH/LOW,TDAHL,━C,5,0,4,0,175,0,2,0,690,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,1,85
5,ME03A,NO.1 M/E E.G.T. CYLINDER A3 DEVI. HIGH/LOW,TDAHL,━C,5,0,4,0,175,0,2,0,690,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,1,86
6,ME04A,NO.1 M/E E.G.T. CYLINDER A4 DEVI. HIGH/LOW,TDAHL,━C,5,0,4,0,175,0,2,0,690,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,1,87
7,ME05A,NO.1 M/E E.G.T. CYLINDER A5 DEVI. HIGH/LOW,TDAHL,━C,5,0,4,0,175,0,2,0,690,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,1,88
8,ME06A,NO.1 M/E E.G.T. CYLINDER A6 DEVI. HIGH/LOW,TDAHL,━C,5,0,4,0,175,0,2,0,690,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,1,89
9,ME12A,NO.2 M/E E.G.T. CYLINDER A1 DEVI. HIGH/LOW,TDAHL,━C,5,0,4,0,205,0,2,0,690,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,2,95
10,ME13A,NO.2 M/E E.G.T. CYLINDER A2 DEVI. HIGH/LOW,TDAHL,━C,5,0,4,0,205,0,2,0,690,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,2,96
11,ME14A,NO.2 M/E E.G.T. CYLINDER A3 DEVI. HIGH/LOW,TDAHL,━C,5,0,4,0,205,0,2,0,690,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,2,97
12,ME15A,NO.2 M/E E.G.T. CYLINDER A4 DEVI. HIGH/LOW,TDAHL,━C,5,0,4,0,205,0,2,0,690,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,2,98
13,ME16A,NO.2 M/E E.G.T. CYLINDER A5 DEVI. HIGH/LOW,TDAHL,━C,5,0,4,0,205,0,2,0,690,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,2,99
14,ME17A,NO.2 M/E E.G.T. CYLINDER A6 DEVI. HIGH/LOW,TDAHL,━C,5,0,4,0,205,0,2,0,690,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,2,100
15,ML01,NO.1 M/E L.O. PRESS. FILTER INLET,PI,BAR,4,0,1,1146,175,0,3,0,10,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
16,ML02A,NO.1 M/E L.O. PRESS. ENGINE INLET,PI,BAR,4,0,1,1147,175,0,3,0,10,2.8,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
17,ML03,NO.1 M/E L.O. PRESS. T/C INLET,PI,BAR,4,0,1,1148,175,0,3,0,10,2.3,0,0,0,7,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
18,ML04A,NO.1 G/B CLUTCH OIL PRESSURE,PI,BAR,4,0,1,1156,175,0,3,0,40,17,0,0,0,10,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
19,ML05,NO.1 M/E L.O. TEMP. COOLER INLET,TI,━C,4,0,1,1168,175,0,3,0,120,0,18,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
20,ML06,NO.1 M/E L.O. TEMP. ENGINE INLET,TI,━C,4,0,1,1169,175,0,3,0,120,0,80,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
21,ML07,NO.1 M/E L.O. PRESS. ENGINE INLET LOW,PAL,,2,0,1,1207,175,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
22,ML08,NO.1 M/E L.O. IN SUMP TANK LV LOW,LAL,,2,0,1,1208,175,0,3,0,0,0,0,0,0,5,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
23,ML09,NO.1 M/E L.O. PRESS. T/C INLET LOW,PAL,,2,0,1,1209,175,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
24,ML10,NO.1 M/E L.O. TEMP. ENGINE INLET HIGH,TAH,,2,0,1,1215,175,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
25,ML11,NO.1 M/E O.M.C. IN CRANKCASE HIGH,OAH,,2,0,1,1223,175,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
26,ML12,NO.1 M/E L.O. FILTER DIFF. PRESS. HIGH,OAH,,2,0,1,1225,175,0,3,0,0,0,0,0,0,7,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
27,ML13,NO.1 M/E DEVI. B.S. OF L.O. PRESS. ENGINE INLET,PI,,2,0,1,1235,175,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
28,ML14,NO.1 M/E L.O. FILTER BY-PASS VALVE OPEN FAIL.,XA,,2,0,1,1239,175,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
29,ML15,NO.2 M/E L.O. PRESS. FILTER INLET,PI,BAR,4,0,1,2346,205,0,3,0,10,2.8,0,0,0,7,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
30,ML16A,NO.2 M/E L.O. PRESS. ENGINE INLET,PI,BAR,4,0,1,2347,205,0,3,0,10,2.8,0,0,0,10,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
31,ML17,NO.2 M/E L.O. PRESS. T/C INLET,PI,BAR,4,0,1,2348,205,0,3,0,10,1.3,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
32,ML18A,NO.2 G/B CLUTCH OIL PRESSURE,PI,BAR,4,0,1,2356,205,0,3,0,40,17,0,0,0,10,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
33,ML19,NO.2 M/E L.O. TEMP. COOLER INLET,TI,━C,4,0,1,2368,205,0,3,0,120,0,80,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
34,ML20,NO.2 M/E L.O. TEMP. ENGINE INLET,TI,━C,4,0,1,2369,205,0,3,0,120,0,80,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
35,ML21,NO.2 M/E L.O. PRESS. ENGINE INLET LOW,PAL,,2,0,1,2407,205,0,3,0,0,0,0,0,0,5,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
36,ML22,NO.2 M/E L.O. IN SUMP TANK LV LOW,LAL,,2,0,1,2408,205,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
37,ML23,NO.2 M/E L.O. PRESS. T/C INLET LOW,PAL,,2,0,1,2409,205,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
38,ML24,NO.2 M/E L.O. TEMP. ENGINE INLET HIGH,TAH,,2,0,1,2415,205,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
39,ML25,NO.2 M/E L.O. FILTER DIFF. PRESS. HIGH,OAH,,2,0,1,2425,205,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
40,ML26,NO.2 M/E DEVI. B.S. OF L.O. PRESS. ENGINE INLET,PI,,2,0,1,2435,205,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
41,ML27,NO.2 M/E L.O. FILTER BY-PASS VALVE OPEN FAIL.,XA,,2,0,1,2439,205,0,3,0,0,0,0,0,0,7,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
